"Name","Description","Latitude","Longitude","Address","City","Zip","State","Country"
"Serbian (sr)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:sr<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/sr<br>","44.016521","21.005859","","","","",""
"Sinhala (si)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:si<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/si<br>","7.873054","80.771797","","","","","LK"
"Slovak (sk)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:sk<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/sk<br>","48.669026","19.699024","","","","","SK"
"Slovenian (sl)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:sl<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/sl<br>","46.151241","14.995463","","","","","SI"
"Songhai (son)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:son<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/son","17.607789","8.081666","","","","","NE"
"Spanish (es-AR)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:es-AR<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/es-AR<br>","-38.416097","-63.616672","","","","","AR"
"Spanish (es-CL)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:es-CL<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/es-CL","-35.675147","-71.542969","","","","","CL"
"Spanish (es-ES)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:es-ES<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/es-ES<br>","40.463667","-3.74922","","","","","ES"
"Spanish (es-MX)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:es-MX<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/es-MX","23.634501","-102.552784","","","","","MX"
"Swedish (sv-SE)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:sv-SE<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/sv-SE<br>","60.128161","18.643501","","","","","SE"
"Tamil (ta)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ta<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ta","13.060422","80.249583","","","","","IN"
"Tamil (ta-LK)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ta-LK<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ta-LK","9.668333","80.006393","","","","","LK"
"Telugu (te)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:te<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/te<br>","17.385044","78.486671","","","","","IN"
"Thai (th)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:th<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/th<br>","15.870032","100.992541","","","","","TH"
"Turkish (tr)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:tr<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/tr<br>","38.963745","35.243322","","","","","TR"
"Ukrainian(uk)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:uk<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/uk<br>","48.379433","31.16558","","","","","UA"
"Urdu (ur)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ur","30.375321","69.345116","","","","","PK"
"Vietnamese (vi)","Status: Product Release <br>L10n Team: https://wiki.mozilla.org/L10n:Teams:vi<br>Mailing-list: https://lists.mozilla.org/listinfo/dev-l10n-vi<br><br>Download:http://www.mozilla.org/en-US/firefox/all.html?lang-search=vietnamese<br>Dashboard http://l10n.mozilla-community.org/webdashboard/?locale=vi<br>Input: http://input.mozilla.com/vi<br>Addon: https://addons.mozilla.org/vi<br>Sumo: http://support.mozilla.com/vi/localization<br><a href=""javascript:void(0);/*1322934265302*/"">Goto</a><br>","14.058324","108.277199","","","","","VN"
"Welsh (cy)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:cy<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/cy<br>","52.4699784","-3.8303771","","","","","GB"
"Zulu (zu)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:zu<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/zu","-26.522503","31.465866","","","","","SZ"
